acc_id,tag,prob,tag_id,peakid,accidents,new_tag
0,respiratory problems,0.9938778281211853,31,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",respiratory problems
0,people falling,0.9840078949928284,25,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",people falling
0,extreme cold,0.946757972240448,5,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",extreme cold
0,frostbite,0.9222371578216553,6,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",frostbite
0,exhaustion,0.9137904047966003,4,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",exhaustion
0,hypothermia,0.7419070601463318,12,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",hypothermia
0,lack of fitness,0.6067704558372498,17,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",lack of fitness
0,steep rock,0.5446549654006958,23,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",steep rock
0,inadequate preparation,0.5322868824005127,15,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall",inadequate preparation
1,respiratory problems,0.9940309524536133,31,EVER,Walker minor pulmonary edema only,respiratory problems
1,medical issues (not altitude-related),0.9308263659477234,32,EVER,Walker minor pulmonary edema only,medical issues (not altitude-related)
1,pulmonary edema (HAPE),0.5142937898635864,9,EVER,Walker minor pulmonary edema only,high-altitude illness
2,people falling,0.9906882047653198,25,EVER,Rabold stroke (?) and Slade CO2 in tent; Litherland fell 20m but not hurt,people falling
3,broken bones,0.9985840320587158,29,EVER,Kregar fell 400m and broke ribs; Sveticic fell 100m and broke knee,medical issues (not altitude-related)
3,people falling,0.9923619031906128,25,EVER,Kregar fell 400m and broke ribs; Sveticic fell 100m and broke knee,people falling
3,steep rock,0.671333372592926,23,EVER,Kregar fell 400m and broke ribs; Sveticic fell 100m and broke knee,steep rock
4,frostbite,0.9876753687858582,6,EVER,3 members and 1 Chinese member frostbitten,frostbite
4,extreme cold,0.9175090789794922,5,EVER,3 members and 1 Chinese member frostbitten,extreme cold
4,hypothermia,0.816836416721344,12,EVER,3 members and 1 Chinese member frostbitten,hypothermia
4,lack of fitness,0.6514036655426025,17,EVER,3 members and 1 Chinese member frostbitten,lack of fitness
4,broken bones,0.5347567796707153,29,EVER,3 members and 1 Chinese member frostbitten,medical issues (not altitude-related)
4,icefall,0.5344299077987671,14,EVER,3 members and 1 Chinese member frostbitten,icefall
4,lack of experience,0.5180761218070984,16,EVER,3 members and 1 Chinese member frostbitten,lack of experience
5,avalanches,0.9874452352523804,1,EVER,Shinichi Ishii buried and killed by avalanche which he started at about 6900m,avalanches
5,inadequate preparation,0.6818917393684387,15,EVER,Shinichi Ishii buried and killed by avalanche which he started at about 6900m,inadequate preparation
5,lack of experience,0.6458369493484497,16,EVER,Shinichi Ishii buried and killed by avalanche which he started at about 6900m,lack of experience
5,steep rock,0.623816967010498,23,EVER,Shinichi Ishii buried and killed by avalanche which he started at about 6900m,steep rock
6,frostbite,0.9506009221076965,6,EVER,Andrews altitude sickness and severely frostbitten fingers; Bruce liver infection; Allen infected tooth,frostbite
6,acute mountain sickness (AMS),0.9152776598930359,0,EVER,Andrews altitude sickness and severely frostbitten fingers; Bruce liver infection; Allen infected tooth,high-altitude illness
6,extreme cold,0.660391092300415,5,EVER,Andrews altitude sickness and severely frostbitten fingers; Bruce liver infection; Allen infected tooth,extreme cold
7,frostbite,0.9910221695899963,6,EVER,None except slight frostbite,frostbite
7,extreme cold,0.8892712593078613,5,EVER,None except slight frostbite,extreme cold
7,hypothermia,0.8598187565803528,12,EVER,None except slight frostbite,hypothermia
7,icefall,0.7525692582130432,14,EVER,None except slight frostbite,icefall
8,stomach problems,0.9992936253547668,26,EVER,Ahn became very sick (stomach trouble); no other serious problems,stomach problems
8,medical issues (not altitude-related),0.9211601614952087,32,EVER,Ahn became very sick (stomach trouble); no other serious problems,medical issues (not altitude-related)
9,broken bones,0.9823704361915588,29,EVER,"1 Sherpa broke leg & members down with him had been hit by falling stone while descending from C3; much falling stone, some carried sideways by wind; no other problems",medical issues (not altitude-related)
9,rockfall,0.9694553017616272,19,EVER,"1 Sherpa broke leg & members down with him had been hit by falling stone while descending from C3; much falling stone, some carried sideways by wind; no other problems",rockfall
9,people falling,0.9586024880409241,25,EVER,"1 Sherpa broke leg & members down with him had been hit by falling stone while descending from C3; much falling stone, some carried sideways by wind; no other problems",people falling
9,steep rock,0.7066513299942017,23,EVER,"1 Sherpa broke leg & members down with him had been hit by falling stone while descending from C3; much falling stone, some carried sideways by wind; no other problems",steep rock
10,frostbite,0.9032126665115356,6,EVER,Some Sherpas frostbitten cheeks; 2 Japanese fingers frostbitten but none serious; no accidents or illnesses,frostbite
10,extreme cold,0.8398327231407166,5,EVER,Some Sherpas frostbitten cheeks; 2 Japanese fingers frostbitten but none serious; no accidents or illnesses,extreme cold
11,frostbite,0.9751259088516235,6,EVER,"1 frostbite, 1 snowblindness",frostbite
11,extreme cold,0.9503116011619568,5,EVER,"1 frostbite, 1 snowblindness",extreme cold
