new_tag,acc_id,peakid,accidents
frostbite,0,EVER,"Dewaele exhausted, shocked, needed O2 and was brought down; much slight frostbite; leader's serious lung ailment; Ang Lhakpa fatal fall"
frostbite,4,EVER,3 members and 1 Chinese member frostbitten
frostbite,6,EVER,Andrews altitude sickness and severely frostbitten fingers; Bruce liver infection; Allen infected tooth
frostbite,7,EVER,None except slight frostbite
frostbite,10,EVER,Some Sherpas frostbitten cheeks; 2 Japanese fingers frostbitten but none serious; no accidents or illnesses
frostbite,11,EVER,"1 frostbite, 1 snowblindness"
frostbite,21,EVER,Ang Tshering frostbitten toes & fingers; no other problems
frostbite,24,EVER,Tamayo frostbite of feet
frostbite,26,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite
frostbite,30,EVER,Logan and Rheinberger frostbite only
frostbite,37,EVER,Middleton's injured leg (while descending from C5 caught by slab avalanche) but not broken; 4 cases of frostbite which will heal
frostbite,38,EVER,3 members frostbite; Teare developed altitude sickness
frostbite,40,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite
frostbite,41,EVER,Yoon Ho-Keun bad frostbitten toes at C3 Dec 20 and went home; 3 more slight frostbite; Lee Yeon-Guen bad leg infection
frostbite,42,EVER,Kurotaki frostbitten fingers (1 may be bad)
frostbite,43,EVER,Park Hee-Taek frostbitten toes that will heal probably but not certainly
frostbite,55,EVER,Giner frostbitten toes and Martinez frostbitten fingers during evening of Oct 14; Shrestha killed in avalanche at C3
frostbite,58,EVER,Frush mild frostbite (could go up only in gentle weather)
frostbite,60,EVER,Kimoto badly frostbitten toes and heel; Sato bad frostbite 7-8 fingers; no more summit bids because very cold and strong wind; after that Miyazaki had altitude problems
frostbite,70,EVER,Prodanov death at 8600m; Yankov frostbitten fingers; 1 member hit by falling empty oxygen bottle in Apr; Savov frostbitten toes
frostbite,73,EVER,Avalanche destroyed first attempt at C2 at 6200m; Bartram slight cerebral edema; Henderson badly frostbitten hands
frostbite,76,EVER,Garces 2 toes frostbitten on summit day
frostbite,78,EVER,Sonam Tshering slightly frostbitten cheek only
frostbite,79,EVER,Weber slightly frostbitten fingers
frostbite,83,EVER,Pivot shoulder broken in avalanche; 1 Sherpa frostnip cheek; Tardivel frostbitten
frostbite,88,EVER,Manning slight frostbite; Browning serious pulmonary edema in descent from top
frostbite,89,EVER,"2 summiters frostbite (Khatri toes and thumbs, Ang Kami toes)"
frostbite,100,EVER,Only Batard frostbite nose and finger which will heal
frostbite,101,EVER,Coulton frostbite that will heal
frostbite,104,EVER,2 serious frostbite cases (De Stefani and De Marchi); 1 cerebral edema (De Stefani)
frostbite,105,EVER,Lemaire serious frostbite in toes between C2 and C3 on N Ridge
frostbite,108,EVER,1 Sherpa's hand broken bare from falling stone; Cronlund frostbite
frostbite,111,EVER,None (one member with frostbitten thumb that will heal)
frostbite,114,EVER,Member's toes frostbitten badly; Ang Karma fell 70-80m near 2nd Step but not really hurt; Valles bad altitude sickness from summit (used oxygen half bottle during descent to ABC)
frostbite,115,EVER,Slight frostbite by 3 summit attackers; Yoon altitude sickness & never above BC
frostbite,116,EVER,2 members hit by falling rock & slightly hurt Dec 7 making route to C3; Nam 2 toes both feet frostbitten climbing C2 to C3 (may loose tips)
frostbite,117,EVER,"3 frostbite but not loss, 1 member 3cm cut from stonefall on cheek"
frostbite,123,EVER,Sah and Dorje slight frostbite
frostbite,124,EVER,Papta pulmonary edema and 2 fingers bad frostbite; Bisht 3 fingers bad frostbite; Sher Singh died in the icefall
frostbite,126,EVER,Smirnov hurt by falling stone; 3 slight frostbite
frostbite,127,EVER,1 member slight frostbite; nothing else
frostbite,129,EVER,Murua frostbite fingers (may lose tips)
frostbite,133,EVER,James Morning to KTM because of allergic reaction to medicine; 4 slight frostbite
frostbite,146,EVER,"Some minor frostbite, edema/pneumonia"
frostbite,160,EVER,Nomoto 2 frozen toes
frostbite,164,EVER,"Caffrey chest infection; Gocking, Tonsing and Kaji frostbite"
frostbite,168,EVER,Chuwang Nima Sherpa frostbite slight on 1 toe; Miyahara's temporary blindness in one eye
frostbite,175,EVER,Krivocheev slight frostbite; Efimov had no strength from cold or what?
frostbite,176,EVER,Lhakpa frostbitten toes & fingers all black
frostbite,182,EVER,De Marchi frostbitten toes & fingers; nothing else
frostbite,183,EVER,Curnis frostbitten fingers; leader fell and 1 cook boy died altitude sickness
frostbite,189,EVER,2 frostbite cases (will not lose toes); kitchen boy altitude sickness but returned
frostbite,191,EVER,Nothing serious except 2 frostbite cases (Ganguli and Dutta)
frostbite,193,EVER,3 members slight frostbite; Warham pulmonary edema at C4 and left early; Lees 'post rinal fatigue'
frostbite,194,EVER,Gryzka slight frostbite; Gyalbu not hurt by slight fall
frostbite,195,EVER,Whitley intestinal obstruction; Todd & Morrow frostbite (will heal)
frostbite,196,EVER,Keaton mildly frostbitten toes
frostbite,198,EVER,"Ang Kami hurt his back while pulling out frozen rope; Jin & Yu Han both have frostbitten toes but not serious, will not lose any parts of their toes"
frostbite,199,EVER,Ngati frostbite 6 fingers but will be OK; Heo altitude cough to day; cook Pasang altitude sickness & given oxygen
frostbite,200,EVER,Yadav slight frostbite; Sarla eye hemorrhage; U Malla blood pressure
frostbite,201,EVER,Frostbite to all six summiters
frostbite,202,EVER,Kim Tae-Kon slight frostbite
frostbite,210,EVER,Chatterjee & Ngati frostbite - may lose tip of 1 finger; Banerjee altitude sickness at BC & left; photographers also left
frostbite,227,EVER,Gau badly frostbitten during bivouac at 8300m; Chen fatal fall
frostbite,231,EVER,One member frostbitten toe; Niklevic cough and kidney problem at BC only
frostbite,234,EVER,Yamazaki one frostbitten finger
frostbite,235,EVER,Semikolenov 2 frostbitten toes but will heal; no serious accident or serious illness
frostbite,240,EVER,1 altitude sick Sherpa; Karnicar frostbitten finger on left hand (will lose all of little finger and half of next one)
frostbite,241,EVER,Nothing except very slight frostbite
frostbite,243,EVER,Delgado pulmonary and cerebral edema and badly frostbitten toes (may lose end of one toe)
frostbite,262,EVER,Hannalore Schmatz and Genet died on descent from exposure
frostbite,264,EVER,Frolov serious frostbite; Ovsharenko mild frostbite; 3 dead on summit attempt
frostbite,270,EVER,Sudarto and Rudi altitude sickness and left BC 2nd April; Rudi also had frostbite
frostbite,275,EVER,"Rodriguez frostbitten fingers, toes and nose"
frostbite,280,EVER,Tina lips frostbitten; cook almost died of altitude sickness but later returned to BC
frostbite,290,EVER,Nothing serious; slight frostbite to Pelle and Kami
frostbite,294,EVER,"1 member died of exhaustion, exposure and frostbite"
frostbite,301,EVER,One very minor frostbite case
frostbite,310,EVER,Fell about 60m just before reaching C4 and toes of right foot slightly frostbitten
frostbite,331,EVER,Tashi very slight frostbite
frostbite,332,EVER,Pitarch most fingers and toes frostbitten (horseback BC to Namche)
frostbite,338,EVER,Joao bad frostbite both hands and nose; both feet also frostbitten
frostbite,341,EVER,"Dunne stomach trouble, Flynn slight frostbite"
frostbite,343,EVER,Smith toes both feet frostbitten but will heal; Everett avalanches; Tinker altitude; Matthews disappeared (fell?)
frostbite,351,EVER,Gorbach serious frostbite all left fingers and all toes and nose; Simonenko heart attack at BC; Kopytko disappeared
frostbite,360,EVER,Temba frostbitten finger; Mingma altitude sickness and legs not good
frostbite,361,EVER,Hoffman frostbitten in descent from balcony and snowblinded; Boice frostbitten fingers
frostbite,373,EVER,"Rafols got nose frostbite, but will heal"
frostbite,375,EVER,Gonzalez seriously frostbitten fingers; Pasaban slightly frostbitten toes
frostbite,376,EVER,Juanito frostbitten nose already healing
frostbite,378,EVER,Lacen frostbitten fingers and toes but membrane will heal (left early)
frostbite,380,EVER,Frostbitten toes from 40 minutes at balcony with the oxygen
frostbite,394,EVER,Rosa's middle finger frostbitten at C2 while coming back; Urtaran had headache and vomiting at C3
frostbite,400,EVER,Keresztesi badly frostbitten fingers during descent and snowblindness; Gardos fatal fall in storm
frostbite,403,EVER,Caban frostbite on right hand all fingers except the middle one
frostbite,404,EVER,Minor frostbite of toe of Povolotski on the night of 18 May
frostbite,405,EVER,Van der Meulen's fingers and toes numb from cold
frostbite,416,EVER,Ang Nuru slight frostbite; Acs serious pulmonary edema
frostbite,420,EVER,Bird slightly frostbitten toes; Ponder's twisted knee
frostbite,428,EVER,Hoffman badly frostbitten fingers and toes; Pemba Nuru slight frostbite
frostbite,429,EVER,Johnson 1 frostbitten toe
frostbite,430,EVER,Very minor sign of frostbitten finger
frostbite,440,EVER,Burch frostbite on both feet
frostbite,443,EVER,Ziel serious frostbitten nose and some fingers
frostbite,444,EVER,Minor frostbite
frostbite,445,EVER,Synnott serious cerebral edema; Dougan two frostbitten fingers; Sharp left toe frostbitten and finger nails
frostbite,447,EVER,Fukutome 4 frostbitten toes; Nakamura 3 toes and finger tips frostbitten; Hirose frostbitten toes; Yamamura 2 frostbitten toes; all by chopper from Lobuje to KTM on 25 May
frostbite,448,EVER,Comoto slightly frostbitten fingers
frostbite,449,EVER,Harlingten from lack of oxygen; fall of White and also little frostbite of two fingers in each hand
frostbite,453,EVER,Frostbite of hands of Castillo at C2 while descending
frostbite,454,EVER,Minor frostbite on feet
frostbite,456,EVER,Minor frostbite because he did not use gloves for climbing
